中海城圣朝菲,朝阳-十里河-成寿寺路,116.458617,39.844728,71085,↓1.59%,367,236,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2008年,500,2.16,30%(一般),北京嘉益德房地产开发有限公司,中海城物业,
吕营嘉园,朝阳-十里河-吕家营村79号,116.47357,39.847102,53006,↑0.60%,106,19,暂无数据,2.00元/平米/月,67000m²,2110户,2003年,地上150元/月,2,35%(一般),北京大洋房地产开发有限公司,北京金都宏业管理中心吕家营分部,
吕家营,朝阳-十里河-吕营大街,116.476699,39.849162,40373,↓16.41%,8,43,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2004年,暂无数据,暂无数据,30%(一般),北京大洋房地产开发有限公司,万通鼎安国际物业顾问管理有限公司（物业顾问）,
中海城紫鑫阁,朝阳-十里河-成寿寺路134号,116.454202,39.850816,47376,↑0.22%,10,284,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2008年,暂无数据,4.68,30%(一般),中海发展（北京）有限公司,中海城物业管理有限公司,
中海城风情苑北区,朝阳-十里河-成寿寺路136号,116.454129,39.850078,77028,↓2.26%,462,107,暂无数据,2.50元/平米/月,1700000m²,3000户,2007年,地上100；地下1000,1.95,30%(一般),中海发展（北京）有限公司,中海城物业管理有限公司,
中海城香克林,朝阳-十里河-成寿寺路140号,116.455352,39.844939,69081,↓1.69%,298,65,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2008年,暂无数据,2.36,30%(一般),中海发展（北京）有限公司,中海城物业管理有限公司,
周庄嘉园B区,朝阳-十里河-弘燕路,116.482003,39.869522,53038,↓3.03%,110,247,暂无数据,0.60元/平米/月,14000m²,2500户,2000年,150元/车位/月,1.4,30%(一般),北京大洋房地产开发有限公司,北京金都物业管理中心,
周庄嘉园7号院,朝阳-十里河-西大望南路,116.482306,39.8699,51301,↓0.21%,221,194,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,暂无数据,北京大洋房地产开发有限公司,北京金都宏业物业管理中心,
宏大家园,朝阳-十里河-成寿寺路149号,116.452456,39.845626,55844,↓7.37%,4,4,暂无数据,1.00元/平米/月,1500m²,260户,2001年,充足,2,35%(一般),北京迎联房地产开发有限公司,迎春房地产开发有限公司,
弘燕路小区,朝阳-十里河-弘燕路10号,116.482877,39.873063,59087,↓12.42%,18,23,暂无数据,1.50元/平米/月,43000m²,432户,1995年,254,1.4,30%(一般),
观筑庭园,朝阳-十里河-吕营大街,116.474508,39.845285,61944,↓4.37%,116,44,暂无数据,2.10元/平米/月,150000m²,900户,2004年,本小区车位十分充足,1.88,30%(一般),北京中鼎基业房地产开发有限公司,北京万通鼎安国际物业管理顾问有限公司,
香克林,朝阳-十里河-成寿寺路,116.454916,39.845858,65607,↓4.89%,0,0,暂无数据,2.70元/平米/月,暂无数据,暂无数据,2008年,暂无数据,2.36,30%(一般),北京中海地产有限公司,中海物业管理有限公司,
少角村142号院,朝阳-十里河-少角村142号,116.46312,39.847358,46825,↓2.04%,0,16,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.5,32%(一般),暂无数据,万民北京物业管理有限公司,
吕家营住宅小区,朝阳-十里河-吕家营村28号,116.470052,39.851042,48000,↓0.62%,0,9,公寓,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.1,31%(一般),暂无数据,吕家营村,
和谐苑,朝阳-十里河-小红门路68号,116.464295,39.845151,64139,↑0.53%,3,2,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2008年,暂无数据,暂无数据,暂无数据,暂无数据,河南鹰城集团,
中海城风情苑南区,朝阳-十里河-成寿寺路138号,116.4552,39.84656,82552,——,84,10,暂无数据,2.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1.95,30%(一般),北京嘉益德房地产开发有限公司,中海物业,
东盈苑,朝阳-十里河-大羊坊路79号,116.474633,39.866282,40000,——,0,7,暂无数据,0.50元/平米/月,1281000000m²,572户,2002年,150元/车位/月,1.93,35%(一般),北京东安恒新房地产开发有限公司,北京金都宏业物业管理中心,
周庄嘉园C区,朝阳-十里河-西大望南路,116.48178,39.869972,66433,↑4.57%,35,31,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.4,39%(一般),北京大洋房地产开发有限公司,北京金都宏业物业管理中心,
周庄嘉园南里,朝阳-十里河-西大望南路,116.482668,39.866628,55192,↓0.02%,69,32,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京大洋房地产开发有限公司,北京金都宏业物业管理中心,
周庄嘉园D区,朝阳-十里河-西大望南路,116.479591,39.872557,55230,↑2.76%,17,15,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京大洋房地产开发有限公司,北京天成广厦物业管理有限公司,
