万城华府海园,海淀-万柳-万柳西路,116.297965,39.975766,170424,↑0.16%,439,173,暂无数据,3.50元/平米/月,197000m²,698户,2004年,1328,1.04,34%(一般),北京万城置地房地产开发有限公司,北京亿城物业管理有限公司,中关村三小万柳校区,
万柳书院,海淀-万柳-万柳华府北街9号,116.298831,39.979966,203865,↓0.62%,207,3,暂无数据,12.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,2,30%(一般),北京赫华恒瑞房地产开发有限公司,北京中赫物业管理有限公司,
康桥水郡,海淀-万柳-泉宗路10号,116.302058,39.968369,144628,↑0.12%,132,103,暂无数据,2.65元/平米/月,97000m²,500户,2004年,300,4.22,35%(一般),北京信远万柳房地产开发有限公司,北京安泰众和物业管理有限公司,中关村三小万柳校区,
汇新家园,海淀-万柳-万柳中路8号,116.304277,39.973355,128958,↓1.63%,61,51,暂无数据,1.00元/平米/月,120000m²,700户,2001年,400,4,50%(高),亿城山水房地产开发有限公司,北京汇鑫泰和物业管理有限公司,中关村三小万柳校区,
光大花园,海淀-万柳-泉宗路2号,116.30698,39.969692,122210,↑2.58%,313,209,暂无数据,2.10元/平米/月,136000m²,1600户,2000年,800,3.3,46%(高),北京光大房地产开发有限公司,北京中海物业管理有限公司,
光大水墨风景,海淀-万柳-万柳西路,116.30108,39.970397,164692,↑1.67%,84,143,暂无数据,4.00元/平米/月,760000000m²,524户,2005年,每户一位,2.4,30%(一般),中国光大房地产开发有限公司,中海宏洋物业管理有限公司北京分公司,中关村三小万柳校区,
万泉新新家园,海淀-万柳-巴沟南路35号,116.304988,39.976938,142390,↓0.21%,1008,350,暂无数据,3.00元/平米/月,280000m²,1300户,2000年,1950,1.75,40%(高),北京万泉花园物业开发有限公司,北京万通物业管有限公司,万泉小学,
阳春光华家园,海淀-万柳-万知泉路,116.306847,39.972178,135006,↓0.51%,231,266,暂无数据,2.15元/平米/月,110000m²,1230户,1999年,800,暂无数据,30%(一般),北京首创风度房地产开发有限责任公司,北京阳光盛世物业管理有限公司,中关村三小万柳校区,
蜂鸟家园,海淀-万柳-万柳中路,116.303567,39.970758,147407,↓0.35%,290,228,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.8,31%(一般),北京恒宇佳泰房地产开发有限公司,北京国世通物业管理有限公司,中关村三小万柳校区,
万城华府龙园,海淀-万柳-圣化寺路,116.299936,39.976966,172575,↑3.39%,78,46,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2004年,暂无数据,1.04,45%(高),北京万城置地房地产开发有限公司,北京亿城物业管理有限公司,中关村三小万柳校区,
碧水云天颐园(西区),海淀-万柳-万泉庄路,116.300415,39.972894,144751,↑0.33%,48,369,公寓,2.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京亿城房地产开发有限公司,北京亿城物业管理有限公司,中关村三小万柳校区,
万城华府尚园,海淀-万柳-万柳华府南街,116.298863,39.974542,205046,↑15.51%,18,31,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2007年,暂无数据,1.04,47%(高),北京万城置地房地产开发有限公司,北京亿城物业管理有限公司,中关村三小万柳校区,
万柳怡水园,海淀-万柳-万柳东路,116.308358,39.968295,105996,↓0.71%,60,43,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2003年,暂无数据,2.7,30%(一般),北京住总房地产开发有限责任公司,北京天诺物业管理有限责任公司,中关村三小万柳校区,
万城华府玺园,海淀-万柳-万柳西路,116.29685,39.97869,174759,↑5.30%,105,41,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2009年,暂无数据,1.05,30%(一般),北京万城置地房地产开发有限公司,北京亿城物业管理有限公司,中关村三小万柳校区,
锋尚国际公寓,海淀-万柳-万柳中路19号,116.306371,39.967815,149796,↑0.35%,129,209,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2002年,暂无数据,3,63%(高),北京锦绣大地房地产开发有限公司,北京锋尚物业管理有限公司,
新纪元家园,海淀-万柳-万柳中路,116.30581,39.971133,142326,——,0,0,公寓,2.80元/平米/月,118000m²,535户,2002年,575,3,61%(高),北京新纪元房地产开发有限公司,北京银达物业管理有限公司,中关村三小万柳校区,
上地南路8号院,海淀-万柳-上地南路8号,116.306079,39.967874,131581,——,0,0,暂无数据,2.80元/平米/月,26000m²,688户,2002年,550,3,63%(高),北京锦绣大地房地产开发有限公司,北京锋尚物业公司,中关村三小万柳校区,
碧水云天颐园,海淀-万柳-万泉庄路,116.302321,39.973072,130931,——,0,0,公寓,暂无数据,270000m²,1438户,2003年,600,2,60%(高),北京亿城房地产开发有限公司,北京迪嘉贝施物业管理有限公司,
新纪元家园,海淀-万柳-万柳中路26号,116.305397,39.971305,146064,↑0.01%,182,60,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2002年,暂无数据,2.7,35%(一般),北京新纪元房地产开发有限公司,北京中实杰肯道夫物业管理有限公司,
北京大学万柳公寓,海淀-万柳-万柳中路29号,116.304479,39.967201,95744,↓0.29%,2,1,暂无数据,暂无数据,暂无数据,暂无数据,1983年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
